rep,frame,t,right_angle,right_elbow_dx_norm,right_dy_norm,left_angle,left_elbow_dx_norm,left_dy_norm,shoulder_width
2,5,0.2747,8.2,0.2971,0.337,18.3,0.2339,0.4447,0.2302
2,6,0.3216,7.7,0.3009,0.319,18.1,0.2334,0.4386,0.2301
2,7,0.3682,7.5,0.3035,0.3094,17.9,0.2326,0.4308,0.2302
2,8,0.414,7.5,0.303,0.3068,17.7,0.2323,0.4246,0.2303
2,9,0.4591,7.6,0.3094,0.3142,17.5,0.2326,0.4247,0.2303
2,10,0.506,7.6,0.3331,0.2967,17.4,0.2324,0.4238,0.2303
2,11,0.5528,7.0,0.2294,-0.2598,17.1,0.3317,0.443,0.223
2,12,0.5982,15.7,0.0654,-0.4026,13.3,0.5252,0.3663,0.2123
2,13,0.6447,10.7,0.2486,-0.1923,7.2,0.6541,0.1595,0.2093
2,14,0.6912,0.9,0.4305,-0.0685,3.6,0.6712,0.0818,0.2086
2,15,0.7365,0.5,0.4744,0.0163,3.4,0.669,0.0891,0.2086
2,16,0.7828,2.1,0.5048,0.2336,15.6,0.6717,-0.2441,0.206
2,17,0.8288,1.2,0.4943,0.3808,49.7,0.4032,-0.219,0.2024
2,18,0.8763,1.6,0.4845,0.4645,42.5,0.2398,-0.225,0.1977
2,19,0.9233,6.2,0.367,0.6038,9.6,0.3121,0.1227,0.2038
2,20,0.9701,5.1,0.3241,0.5138,22.2,0.336,0.5287,0.2096
2,21,1.0165,4.3,0.3027,0.4859,24.0,0.3455,0.5597,0.2126
2,22,1.0631,4.3,0.2988,0.4354,25.0,0.3142,0.6108,0.2153
2,23,1.1079,4.8,0.2978,0.4102,24.7,0.2738,0.6473,0.2175
2,24,1.1542,4.1,0.2972,0.3893,24.3,0.2545,0.6447,0.2206
2,25,1.2015,2.8,0.2957,0.372,24.0,0.2444,0.6444,0.223
2,26,1.2482,2.0,0.2942,0.3655,24.0,0.2379,0.6429,0.2245
2,27,1.2937,6.4,0.2956,0.3708,18.6,0.2469,0.5533,0.225
2,28,1.3404,8.5,0.2966,0.3651,16.4,0.2522,0.5179,0.2261
2,29,1.3876,10.4,0.2969,0.3848,15.7,0.2607,0.5113,0.2263
2,30,1.434,11.7,0.3024,0.3935,15.8,0.2645,0.5001,0.2252
2,31,1.48,12.6,0.3051,0.3993,15.5,0.2654,0.492,0.2237
2,32,1.5261,12.5,0.3024,0.4089,15.3,0.265,0.4845,0.2233
2,33,1.5728,13.5,0.31,0.4407,15.9,0.2648,0.4898,0.22
2,34,1.6181,14.6,0.3034,0.4843,17.7,0.2708,0.5114,0.2172
3,0,0.0457,3.1,0.3451,0.2205,19.6,0.2611,0.3925,0.2302
3,1,0.0928,3.1,0.343,0.2316,18.6,0.2618,0.3908,0.2337
3,2,0.1397,3.9,0.3326,0.2374,18.1,0.262,0.3951,0.2366
3,3,0.1869,4.4,0.3296,0.2435,17.8,0.2592,0.3994,0.2381
3,4,0.2323,4.3,0.3363,0.2505,17.9,0.254,0.4083,0.2382
3,5,0.2784,4.4,0.3399,0.2577,17.7,0.2483,0.4105,0.2387
3,6,0.3254,4.7,0.3408,0.2561,17.6,0.2439,0.4089,0.2393
3,7,0.3704,5.1,0.3393,0.2618,17.8,0.2481,0.4134,0.2391
3,8,0.4175,5.4,0.3377,0.2653,17.8,0.2476,0.4168,0.2395
3,9,0.4628,6.1,0.3412,0.2434,18.1,0.2406,0.4128,0.2414
3,10,0.5089,8.5,0.3678,0.1726,18.2,0.2478,0.4143,0.2413
3,11,0.5553,9.2,0.3797,-0.0031,18.2,0.256,0.4071,0.2391
3,12,0.5999,9.3,0.2064,-0.2343,17.1,0.2878,0.3934,0.2317
3,13,0.6475,10.4,0.1735,-0.2712,16.5,0.3054,0.387,0.2277
